seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
144,300.0,1,326.58583169765166,299.9999999999997,1,13,68,5,19.237587470843053,274,266,,,46.944817883056444,44.70197670689832,326.58583169765166,331.58583169765166,3000,600,130.25
112,300.0,1,315.98583333267567,299.9999999999997,1,12,36,4,17.164611796067977,259,252,,,49.31428841848747,48.900145568370284,315.98583333267567,320.98583333267567,3000,600,129.57800000000134
103,300.0,1,211.49298198604487,212.19999999999223,0,0,23,0,6.992463495054168,62,67,,,46.95430767145266,45.34549110829425,211.49298198604487,206.49298198604487,2122,425,90.96800000000076
137,300.0,1,50.50140000000045,50.10000000000044,0,0,10,0,4.535856573705179,5,10,,,38.587719810597676,35.038327263626094,50.50140000000045,45.50140000000045,501,101,26.45300000000134
164,300.0,1,84.46399999999947,83.69999999999952,0,0,10,0,3.047732696897375,9,14,,,43.32862429668217,41.43101299037103,84.46399999999947,79.46399999999947,837,168,34.48400000000038
143,300.0,1,60.99940000000059,60.50000000000059,0,0,10,0,3.623762376237624,6,11,,,46.18911733605408,43.88869452587009,60.99940000000059,55.99940000000059,605,121,16.93699999999808
150,300.0,1,109.75059999999804,108.7999999999981,0,0,10,0,3.011937557392103,10,15,,,46.39098306802088,43.57601636425634,109.75059999999804,104.75059999999804,1088,218,49.59400000000096
109,300.0,1,201.38419999999323,196.49999999999312,0,0,12,0,3.9572736520854526,43,48,,,41.21998812978218,39.801315247793184,201.38419999999323,196.38419999999323,1965,393,81.81200000000172
147,300.0,1,315.85141815597837,299.9999999999997,1,10,47,3,17.691436187937356,248,243,,,47.17868999444611,46.821613470327506,315.85141815597837,320.85141815597837,3000,600,132.39100000000326
153,300.0,1,29.068600000000146,28.90000000000014,0,0,10,0,5.941379310344828,5,10,,,35.852798453191255,32.79691771188607,29.068600000000146,24.068600000000146,289,58,13.454000000001543
118,300.0,1,315.27975879856,299.9999999999997,1,13,44,2,13.261246251249583,177,169,,,48.00595208407865,47.48865144719069,315.27975879856,320.27975879856,3000,600,132.20300000000134
115,300.0,1,114.89967893901704,113.09999999999785,0,0,11,0,4.859540636042403,22,27,,,47.42502074732933,47.31893971312547,114.89967893901704,109.89967893901704,1131,227,48.85900000000038
121,300.0,1,41.426200000000314,41.100000000000314,0,0,10,0,4.961165048543689,5,10,,,35.731096885844686,34.448455116264185,41.426200000000314,36.426200000000314,411,83,8.71900000000096
170,300.0,1,321.0871571668887,299.9999999999997,1,11,42,3,16.230923025658115,226,220,,,46.1816381096082,44.39168750832285,321.0871571668887,326.0871571668887,3000,600,128.78099999999904
149,300.0,1,320.17351867885134,299.9999999999997,1,2,37,1,16.61412862379207,217,220,,,48.11987932586583,47.48737842442672,320.17351867885134,325.17351867885134,3000,600,129.7029999999977
156,300.0,1,316.2279875920527,299.9999999999997,1,10,35,4,14.153615461512828,206,201,,,47.68963966590958,47.71845065479567,316.2279875920527,321.2279875920527,3000,600,123.70300000000134
162,300.0,1,42.85760000000034,42.40000000000033,0,0,11,0,4.990588235294117,8,13,,,39.470669270221826,36.7996213660731,42.85760000000034,37.85760000000034,424,85,12.71900000000096
159,300.0,1,239.87729785796475,236.19999999999087,0,0,24,0,7.9733389758781215,88,93,,,46.60601727778394,45.70187761660072,239.87729785796475,234.87729785796475,2362,473,105.20300000000134
124,300.0,1,311.81221264685854,299.9999999999997,1,12,25,1,11.48217260913029,163,156,,,47.307821523483135,46.397948749398296,311.81221264685854,316.81221264685854,3000,600,134.9529999999977
127,300.0,1,327.4054846255421,299.9999999999997,1,22,33,3,15.92002665778074,240,223,,,48.11789199915927,47.24262125960472,327.4054846255421,332.4054846255421,3000,600,143.64099999999962
176,300.0,1,317.8857206912934,299.9999999999997,1,30,64,2,17.609463512162613,265,240,,,47.553949657130254,47.643922525194284,317.8857206912934,322.8857206912934,3000,600,144.03100000000268
155,300.0,1,320.27554811419634,299.9999999999997,1,10,57,1,15.943018993668778,230,225,,,46.66018461727522,44.69185738175343,320.27554811419634,325.27554811419634,3000,600,145.53099999999904
182,300.0,1,26.897600000000114,26.70000000000011,0,0,11,0,6.425373134328358,6,11,,,35.65526841908939,31.52834906945672,26.897600000000114,21.897600000000114,267,54,16.860000000000582
